name,address,number_,geo_point_2d,latitud,longitud
206_CALLE_PERIODISTA_GIL_SUMBIELA,Periodista Gil Sumbiela - Poeta Serrano Clavero,206,"39.49271239990425,-0.38900741524280136",39.49271239990425,-0.38900741524280136
207_CALLE_MILLARES_ESQ_CALLE_FEDERICO_GARCA_LORCA,"Giorgeta, 64",207,"39.45539327294658,-0.381905420300487",39.45539327294658,-0.381905420300487
208_CALLE_CARTEROS_ESQ_CALLE_MOSSEN_FEBRER,Carteros - Mossen Febrer,208,"39.451692263769644,-0.38857844617931064",39.451692263769644,-0.38857844617931064
209_AVDA_GASPAR_AGUILAR_ESQ_CALLE_MUSICO_PENELLA,Gaspar Aguilar - Músico Penella,209,"39.45208226727133,-0.39301546105732643",39.45208226727133,-0.39301546105732643
021_JUAN_LLORENS_29,Juan Llorens - Literato Gabriel Miró,21,"39.4723713328859,-0.39021443540491124",39.4723713328859,-0.39021443540491124
210_CALLE_CAMPOS_CRESPO_ESQ_CALLE_JUAN_DE_GARAY,Campos Crespo - Juan de Garay,210,"39.45555328036534,-0.39671647037206986",39.45555328036534,-0.39671647037206986
211_CALLE_FRAY_JUNÍPERO_SERRA_ESQ_CALLE_VALL_D'UIX,Fray Junípero Serra - Vall d'Uixó,211,"39.45872629171394,-0.3977574716661004",39.45872629171394,-0.3977574716661004
212_CALLE_FRAY_JUANÍPERO_SERRA_ESQ_CALLE_TORRENTE,Fray Juanípero Serra - Torrente,212,"39.46148430130945,-0.40039647823746194",39.46148430130945,-0.40039647823746194
213_CALLE_ARCHIDUQUE_CARLOS_ESQ_CALLE_JOSE_MA_MOR,Archiduque Carlos - José María Mortes Lerma,213,"39.463165305912604,-0.39697246591763863",39.463165305912604,-0.39697246591763863
214_CALLE_SANTA_CRUZ_DE_TENERIFE_ESQ_CALLE_LLOMBA,"Santa Cruz de Tenerife, 21",214,"39.464932313028335,-0.4005764763988502",39.464932313028335,-0.4005764763988502
215_CALLE_MUSICO_AYLLON_ESQ_CALLE_FRANCISCO_DOLZ,Músico Ayllón - Francisco Dolz,215,"39.46567131414367,-0.39674846254882856",39.46567131414367,-0.39674846254882856
216_AVDA_DEL_CID_ESQ_CALLE_BURGOS,Av. del Cid - Burgos,216,"39.469162243634074,-0.3994613007254756",39.469162243634074,-0.3994613007254756
217_CALLE_9_DE_OCTUBRE_ESQ_CALLE_PINTOR_STOLZ,Pintor Stolz - Nueve de Octubre,217,"39.47032833321364,-0.40459648652865626",39.47032833321364,-0.40459648652865626
218_CALLE_SALVADOR_FERRANDIS_LUNA_ESQ_CALLE_JUAN_B,Salvador Ferrandis Luna - Juan Bautista Vives,218,"39.47074033078547,-0.3973844614710405",39.47074033078547,-0.3973844614710405
219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ,Castán Tobeñas - Rincon de Ademuz,219,"39.47265724610551,-0.40303029799024204",39.47265724610551,-0.40303029799024204
022_JUAN_LLORENS_57,Angel Guimerá - Juan Llorens,22,"39.46978732404922,-0.3883534313205414",39.46978732404922,-0.3883534313205414
220_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_DE_GOYA,Castán Tobeñas - Patriques,220,"39.47385534208041,-0.3983214623957442",39.47385534208041,-0.3983214623957442
221_AVDA_MANUEL_DE_FALLA_ESQ_CALLE_HERNANDEZ_LAZAR,Manuel de Falla - Hernández Lázaro,221,"39.475270348637764,-0.4028534760386356",39.475270348637764,-0.4028534760386356
